"External ID","Code","Description"
"l10n_eu_nace.nace_08_9","08.9","Rudarstvo i vađenje, d. n."
"l10n_eu_nace.nace_08_91","08.91","Vađenje minerala za kemikalije i gnojiva"
"l10n_eu_nace.nace_08_92","08.92","Vađenje treseta"
"l10n_eu_nace.nace_08_93","08.93","Vađenje soli"
"l10n_eu_nace.nace_08_99","08.99","Vađenje ostalih ruda i kamena, d. n."
"l10n_eu_nace.nace_09","09","Pomoćne uslužne djelatnosti u rudarstvu"
"l10n_eu_nace.nace_09_1","09.1","Pomoćne djelatnosti za vađenje nafte i prirodnog plina"
"l10n_eu_nace.nace_09_10","09.10","Pomoćne djelatnosti za vađenje nafte i prirodnog plina"
"l10n_eu_nace.nace_09_9","09.9","Pomoćne djelatnosti za ostalo rudarstvo i vađenje"
"l10n_eu_nace.nace_09_90","09.90","Pomoćne djelatnosti za ostalo rudarstvo i vađenje"
"l10n_eu_nace.nace_C","C","PRERAĐIVAČKA INDUSTRIJA"
"l10n_eu_nace.nace_10","10","Proizvodnja prehrambenih proizvoda"
"l10n_eu_nace.nace_10_1","10.1","Prerada i konzerviranje mesa i proizvodnja mesnih proizvoda"
"l10n_eu_nace.nace_10_11","10.11","Prerada i konzerviranje mesa"
"l10n_eu_nace.nace_10_12","10.12","Prerada i konzerviranje mesa peradi"
"l10n_eu_nace.nace_10_13","10.13","Proizvodnja proizvoda od mesa i mesa peradi"
"l10n_eu_nace.nace_10_2","10.2","Prerada i konzerviranje riba, rakova i školjki "
"l10n_eu_nace.nace_10_20","10.20","Prerada i konzerviranje riba, rakova i školjki "
"l10n_eu_nace.nace_10_3","10.3","Prerada i konzerviranje voća i povrća"
"l10n_eu_nace.nace_10_31","10.31","Prerada i konzerviranje krumpira"
"l10n_eu_nace.nace_10_32","10.32","Proizvodnja sokova od voća i povrća"
"l10n_eu_nace.nace_10_39","10.39","Ostala prerada i konzerviranje voća i povrća"
"l10n_eu_nace.nace_10_4","10.4","Proizvodnja biljnih i životinjskih ulja i masti"
"l10n_eu_nace.nace_10_41","10.41","Proizvodnja ulja i masti"
"l10n_eu_nace.nace_10_42","10.42","Proizvodnja margarina i sličnih jestivih masti"
"l10n_eu_nace.nace_10_5","10.5","Proizvodnja mliječnih proizvoda"
"l10n_eu_nace.nace_10_51","10.51","Djelatnosti mljekara i proizvođača sira"
"l10n_eu_nace.nace_10_52","10.52","Proizvodnja sladoleda"
"l10n_eu_nace.nace_10_6","10.6","Proizvodnja mlinskih proizvoda, škroba i škrobnih proizovoda "
"l10n_eu_nace.nace_10_61","10.61","Proizvodnja mlinskih proizvoda"
"l10n_eu_nace.nace_10_62","10.62","Proizvodnja škroba i škrobnih proizvoda"
"l10n_eu_nace.nace_10_7","10.7","Proizvodnja pekarskih i brašneno-konditorskih proizvoda"
"l10n_eu_nace.nace_10_71","10.71","Proizvodnja kruha; proizvodnja svježih peciva, slastičarskih proizvoda i kolača"
"l10n_eu_nace.nace_10_72","10.72","Proizvodnja dvopeka, keksa i srodnih proizvoda; proizvodnja trajnih peciva, slastičarskih proizvoda i kolača"
"l10n_eu_nace.nace_10_73","10.73","Proizvodnja makarona, njoka, kuskusa i slične tjestenine"
"l10n_eu_nace.nace_10_8","10.8","Proizvodnja ostalih prehrambenih proizvoda"
"l10n_eu_nace.nace_10_81","10.81","Proizvodnja šećera"
"l10n_eu_nace.nace_10_82","10.82","Proizvodnja kakao, čokoladnih i bombonskih proizvoda"
"l10n_eu_nace.nace_10_83","10.83","Prerada čaja i kave"
"l10n_eu_nace.nace_10_84","10.84","Proizvodnja začina i drugih dodataka hrani"
"l10n_eu_nace.nace_10_85","10.85","Proizvodnja gotove hrane i jela"
"l10n_eu_nace.nace_10_86","10.86","Proizvodnja homogeniziranih prehrambenih pripravaka i dijetetske hrane"
